Sign,Variable,FunctionalClass,ProtoGloss,CountInReadyTexts,RoleContexts,SemanticFrames,ReadingConstraint
742,R76,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:2; TerminalFiller:1,TerminalFormula:4,must be tested as a possible lexical root or unresolved sign
745,R77,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:4,TerminalFormula:3; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
831,R78,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:4,TerminalFormula:3; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
842,R79,ROOT_OR_UNRESOLVED,UNRESOLVED,4,TerminalFiller:2,TerminalFormula:3; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
850,R80,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:3,TerminalFormula:3; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
877,R81,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:2; PreTerminalFiller:1; TerminalFiller:1,ClassifierSlotTerminalFormula:2; TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
927,R82,ROOT_OR_UNRESOLVED,UNRESOLVED,4,TerminalFiller:4,TerminalFormula:4,must be tested as a possible lexical root or unresolved sign
072,R83,ROOT_OR_UNRESOLVED,UNRESOLVED,3,InitialFiller:2; TerminalFiller:1,PrimeEntitySealFormula:2; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
095,R84,ROOT_OR_UNRESOLVED,UNRESOLVED,3,InitialFiller:3,TerminalFormula:3,must be tested as a possible lexical root or unresolved sign
150,R85,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:2; InitialFiller:1,TerminalFormula:2; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
236,R86,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:2; PrimeEntityFiller:1,LowEvidenceSequence:2; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
272,R87,ROOT_OR_UNRESOLVED,UNRESOLVED,3,InitialFiller:3,TerminalFormula:2; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
374,R88,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:1; InitialFiller:1,TerminalFormula:1; LowEvidenceSequence:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
443,R89,ROOT_OR_UNRESOLVED,UNRESOLVED,3,PrimeEntityFiller:1; InitialFiller:1; TerminalFiller:1,PrimeEntitySealFormula:1; TerminalFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
456,R90,ROOT_OR_UNRESOLVED,UNRESOLVED,3,InitialFiller:2; TerminalFiller:1,TerminalFormula:2; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
460,R91,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:2; PrimeEntityFiller:1,TerminalFormula:2; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
463,R92,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:2,TerminalFormula:1; InitialClassifierFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
495,R93,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:2; PrimeEntityFiller:1,TerminalFormula:2; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
502,R94,ROOT_OR_UNRESOLVED,UNRESOLVED,3,,TerminalFormula:2; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
521,R95,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:1,PrimeEntitySealFormula:2; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
564,R96,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:2; InitialFiller:1,ClassifierSlotTerminalFormula:1; PrimeEntitySealFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
592,R97,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:3,LowEvidenceSequence:3,must be tested as a possible lexical root or unresolved sign
615,R98,ROOT_OR_UNRESOLVED,UNRESOLVED,3,PrimeEntityFiller:1; TerminalFiller:1; InitialFiller:1,PrimeEntitySealFormula:1; LowEvidenceSequence:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
772,R99,ROOT_OR_UNRESOLVED,UNRESOLVED,3,PrimeEntityFiller:1; TerminalFiller:1,PrimeEntitySealFormula:1; NameLikeTerminalFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
790,R100,ROOT_OR_UNRESOLVED,UNRESOLVED,3,TerminalFiller:2; InitialFiller:1,TerminalFormula:2; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
808,R101,ROOT_OR_UNRESOLVED,UNRESOLVED,3,InitialFiller:2,PrimeEntitySealFormula:1; TerminalFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
851,R102,ROOT_OR_UNRESOLVED,UNRESOLVED,3,InitialFiller:3,TerminalFormula:3,must be tested as a possible lexical root or unresolved sign
065,R103,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,ClassifierSlotTerminalFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
066,R104,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
081,R105,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:1; InitialFiller:1,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
101,R106,ROOT_OR_UNRESOLVED,UNRESOLVED,2,PrimeEntityFiller:2,PrimeEntitySealFormula:2,must be tested as a possible lexical root or unresolved sign
161,R107,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:2,LowEvidenceSequence:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
168,R108,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1; PrimeEntityFiller:1,TerminalFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
190,R109,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1,TerminalFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
201,R110,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
202,R111,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:1; InitialFiller:1,InitialClassifierFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
226,R112,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:2,LowEvidenceSequence:2,must be tested as a possible lexical root or unresolved sign
232,R113,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:2,LowEvidenceSequence:2,must be tested as a possible lexical root or unresolved sign
260,R114,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1,PrimeEntitySealFormula:1; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
263,R115,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,TerminalFormula:1; NameLikeTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
309,R116,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1,LowEvidenceSequence:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
315,R117,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,ClassifierSlotTerminalFormula:1; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
319,R118,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1,ClassifierSlotTerminalFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
322,R119,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,TerminalFormula:1; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
324,R120,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:1; InitialFiller:1,ClassifierSlotTerminalFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
335,R121,ROOT_OR_UNRESOLVED,UNRESOLVED,2,PrimeEntityFiller:1; TerminalFiller:1,PrimeEntitySealFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
337,R122,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:2,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
345,R123,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
346,R124,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,PrimeEntitySealFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
354,R125,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:2,PrimeEntitySealFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
360,R126,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1,ClassifierSlotTerminalFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
361,R127,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,TerminalFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
365,R128,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1,TerminalFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
380,R129,ROOT_OR_UNRESOLVED,UNRESOLVED,2,PrimeEntityFiller:1,PrimeEntitySealFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
467,R130,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1; TerminalFiller:1,TerminalFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
472,R131,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:1,TerminalFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
484,R132,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:2,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
518,R133,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:1; InitialFiller:1,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
543,R134,ROOT_OR_UNRESOLVED,UNRESOLVED,2,PrimeEntityFiller:1; TerminalFiller:1,PrimeEntitySealFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
544,R135,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:1; InitialFiller:1,TerminalFormula:1; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
579,R136,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
605,R137,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:2,ClassifierSlotTerminalFormula:1; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
700,R138,ROOT_OR_UNRESOLVED,UNRESOLVED,2,TerminalFiller:1; InitialFiller:1,LowEvidenceSequence:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
702,R139,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,TerminalFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
720,R140,ROOT_OR_UNRESOLVED,UNRESOLVED,2,PrimeEntityFiller:1; InitialFiller:1,PrimeEntitySealFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
812,R141,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,ClassifierSlotTerminalFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
821,R142,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1; TerminalFiller:1,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
903,R143,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
906,R144,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:1,TerminalFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
919,R145,ROOT_OR_UNRESOLVED,UNRESOLVED,2,InitialFiller:2,ClassifierSlotTerminalFormula:2,must be tested as a possible lexical root or unresolved sign
921,R146,ROOT_OR_UNRESOLVED,UNRESOLVED,2,,PrimeEntitySealFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
006,R147,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
012,R148,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
015,R149,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
034,R150,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
036,R151,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
042,R152,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
046,R153,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
056,R154,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
063,R155,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
064,R156,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
067,R157,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
092,R158,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
093,R159,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
097,R160,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
099,R161,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
103,R162,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
105,R163,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
111,R164,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
112,R165,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
121,R166,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
123,R167,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
132,R168,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
137,R169,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
139,R170,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
155,R171,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
157,R172,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
159,R173,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
166,R174,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
167,R175,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
192,R176,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
194,R177,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
195,R178,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
204,R179,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
205,R180,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
208,R181,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
215,R182,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
216,R183,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
219,R184,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
221,R185,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
234,R186,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
241,R187,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
244,R188,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
252,R189,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
257,R190,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
262,R191,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
268,R192,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
278,R193,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,NameLikeTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
279,R194,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
285,R195,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
286,R196,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
287,R197,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
291,R198,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
300,R199,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
305,R200,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
308,R201,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
321,R202,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
325,R203,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
326,R204,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
338,R205,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
351,R206,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
353,R207,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
362,R208,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
367,R209,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
370,R210,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
371,R211,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
383,R212,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
392,R213,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
402,R214,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
409,R215,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
412,R216,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
413,R217,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
420,R218,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
422,R219,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
423,R220,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
424,R221,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
427,R222,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
429,R223,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
444,R224,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
458,R225,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
466,R226,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
468,R227,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
469,R228,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
483,R229,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
505,R230,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
510,R231,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
511,R232,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
519,R233,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
533,R234,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
535,R235,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
540,R236,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
542,R237,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
545,R238,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
551,R239,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
554,R240,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
556,R241,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
560,R242,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
561,R243,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
563,R244,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
586,R245,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
603,R246,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
